Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
0.2774764,0.39371777,0.2747863,0.21245597,0.28943557,0.29123583,0.24824212,0.24030972,0.21771389,0.30622163,0.367327,0.2885893
0.31764787,0.3361758,0.34777576,0.3054139,0.3031044,0.27972203,0.23390047,0.23221487,0.23974785,0.24378529,0.2881018,0.30528218
0.22815278,0.25604212,0.31443346,0.35177207,0.36631748,0.3486593,0.35357177,0.30917385,0.2525481,0.19599919,0.18422739,0.21745689
0.25697905,0.26639014,0.30699167,0.35914788,0.30949998,0.31342283,0.27680284,0.28658387,0.31396028,0.26797342,0.24427503,0.23862457
0.2760422,0.29713207,0.3193187,0.34400654,0.3535702,0.30698493,0.30780634,0.28342003,0.2476297,0.22496657,0.2247296,0.24176675
0.30373615,0.29468256,0.2913375,0.28725216,0.27190363,0.25685757,0.28607562,0.2946529,0.28870344,0.28434122,0.29295737,0.30809835
0.27910754,0.28468114,0.2982155,0.2980745,0.291123,0.29119727,0.2963533,0.28528303,0.2850887,0.2950184,0.27968073,0.27925223
0.19383986,0.27047172,0.367257,0.36182943,0.3278904,0.30309266,0.30559722,0.28783545,0.2855689,0.28950572,0.21518752,0.19023122
0.3162553,0.30728897,0.31771284,0.29552904,0.26158914,0.2538986,0.24520369,0.26503217,0.28191605,0.2878326,0.29745072,0.32127216
0.248462,0.29771164,0.34057292,0.33363044,0.3108188,0.29202956,0.28444108,0.29963642,0.30124727,0.26867515,0.23445821,0.22770576
0.29341924,0.28143048,0.29684985,0.27388898,0.25960532,0.2422164,0.24989559,0.2946195,0.3288462,0.32866228,0.2909221,0.3089668
0.25849053,0.25542176,0.2730334,0.28631684,0.29299796,0.2865008,0.28519398,0.30106106,0.32323396,0.34881285,0.28257343,0.25596005
0.18239954,0.20687132,0.2477505,0.27702007,0.2738443,0.31657335,0.34794086,0.34361953,0.34157974,0.36058047,0.2860107,0.20729332
0.26153803,0.2738576,0.26556882,0.26477513,0.27135244,0.29420295,0.32213032,0.32628486,0.31282672,0.30442712,0.28662783,0.2699222
0.20685232,0.25465372,0.29142234,0.30025673,0.32933366,0.34708464,0.36416256,0.3572516,0.29523876,0.26632035,0.19617797,0.17757466
0.25688282,0.23271015,0.2832298,0.30516982,0.2896733,0.29477233,0.3432298,0.36965987,0.32180095,0.3017805,0.21273902,0.20339055
0.27349612,0.25863326,0.29357392,0.33399126,0.3173085,0.31983897,0.32850885,0.35378736,0.2998196,0.23357245,0.18834312,0.21115567
0.2942442,0.2762948,0.285744,0.3788132,0.37353548,0.36519775,0.32418942,0.3031042,0.23941873,0.18141289,0.13379376,0.18420276
0.2742071,0.34090856,0.355546,0.36129713,0.3447166,0.35425082,0.29365778,0.24168018,0.19848002,0.19722703,0.1903758,0.21940874
0.27130115,0.4020033,0.39319906,0.3508032,0.29313692,0.31420812,0.3047183,0.2516626,0.20330082,0.17994015,0.17997722,0.20043896
0.37334695,0.36255795,0.34468126,0.26159894,0.19370839,0.20838466,0.22465809,0.24255379,0.24420238,0.24465731,0.31578505,0.36395285
0.40892774,0.41020077,0.33351138,0.26475215,0.18900052,0.17790885,0.19182698,0.21588065,0.22551854,0.26769513,0.3010521,0.34534526
0.33513954,0.3261511,0.2582747,0.2280095,0.19924313,0.22260724,0.22732039,0.24167566,0.2747421,0.3254301,0.38584578,0.36471134
0.26061925,0.24996354,0.22000568,0.2153414,0.24188004,0.24636164,0.24099298,0.31036207,0.38740706,0.36539122,0.35640365,0.30099946
0.22799076,0.2814368,0.24600002,0.24421538,0.2733413,0.25181234,0.25131598,0.2840055,0.33320385,0.3721801,0.36451438,0.29034305
0.21660043,0.20622826,0.20069854,0.21108036,0.23116358,0.2828699,0.29170755,0.3216794,0.32144907,0.36541066,0.39895067,0.32814673
0.22508141,0.19215295,0.17152102,0.1837117,0.19791575,0.24737051,0.25638285,0.33706465,0.37825677,0.46772105,0.364429,0.2736586
