Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
0.24112783,0.26992768,0.28790992,0.332422,0.342475,0.30206877,0.28623098,0.28130072,0.281016,0.31091312,0.2668131,0.24327095
0.26580447,0.2556457,0.25754312,0.243211,0.23390657,0.24860418,0.2890689,0.32899398,0.3352514,0.34659904,0.3290729,0.29897422
0.24348675,0.34378657,0.37438947,0.29009783,0.25077587,0.23245549,0.24277101,0.2774169,0.3404899,0.32486442,0.27543315,0.21919176
0.22199883,0.37790036,0.4766567,0.32135662,0.23862608,0.19163884,0.14982063,0.16304787,0.33388075,0.34306902,0.26818725,0.18341291
0.20556399,0.3235535,0.42861712,0.32252082,0.25474226,0.19995077,0.17080614,0.19315085,0.34128523,0.36793664,0.31566986,0.20607747
0.22025694,0.32388562,0.38236523,0.3250685,0.28983852,0.23727244,0.21784174,0.24684761,0.35787588,0.32153702,0.2726175,0.20059286
0.22408313,0.33968633,0.37762567,0.3620673,0.35102013,0.2868158,0.25767297,0.24033347,0.31206557,0.2548501,0.20127161,0.16801299
0.3036214,0.36938474,0.42610815,0.38639975,0.32419887,0.23891678,0.21260606,0.17722045,0.23846038,0.21608424,0.19939367,0.24163592
0.36781096,0.35754806,0.36655387,0.30698064,0.23936537,0.18044451,0.15242407,0.15314025,0.26673,0.29606056,0.29414713,0.35554925
0.32187852,0.2599737,0.26307452,0.2407384,0.21637487,0.21577111,0.18698822,0.19082636,0.34431985,0.3820869,0.3690879,0.3689413
0.24260533,0.2345183,0.2292398,0.21095118,0.20781231,0.25062776,0.20229802,0.23598033,0.43184188,0.46117643,0.34385604,0.2628176
0.18876371,0.23058413,0.262356,0.20797749,0.20009343,0.30928656,0.30875957,0.26282108,0.42496535,0.45642075,0.2752989,0.18521878
0.17808954,0.26590154,0.34919944,0.28506106,0.31066522,0.39674574,0.30325675,0.23932111,0.34186462,0.3205495,0.21522126,0.15898927
0.21991703,0.34923,0.45142862,0.32956302,0.31927493,0.30312887,0.1810116,0.17628093,0.3113699,0.2986431,0.2187021,0.16013105
0.24249204,0.44850603,0.4893581,0.32676947,0.24265574,0.1732092,0.10694602,0.13862048,0.31449178,0.30949184,0.23473077,0.15641361
0.27657148,0.45881453,0.4918313,0.29924116,0.19546513,0.120770566,0.087276,0.1279092,0.31604096,0.32900047,0.256198,0.17613465
0.28292078,0.45837593,0.49396503,0.28471914,0.16595538,0.0971263,0.07652915,0.14091212,0.34155104,0.31979787,0.26247147,0.18513325
0.23881315,0.4269246,0.50473136,0.31834173,0.18110919,0.09846107,0.070667535,0.13565812,0.36271212,0.3377814,0.24517111,0.18152425
0.24651761,0.4412162,0.5244643,0.31372035,0.16372174,0.082871586,0.06785581,0.111926965,0.32586977,0.35132894,0.24010052,0.18165396
0.26107562,0.45439354,0.5337079,0.31591576,0.16545297,0.0768646,0.067635156,0.13445574,0.32087946,0.31351388,0.22498041,0.18141836
0.23792954,0.46085602,0.5590841,0.34255338,0.18594573,0.07847283,0.045471106,0.10329257,0.3027937,0.29810947,0.20789544,0.1543981
0.25014347,0.47686252,0.57994175,0.35817745,0.19144608,0.06922921,0.04374759,0.10262925,0.24853091,0.25688502,0.18936045,0.16703619
0.2731858,0.49047312,0.5887692,0.3586426,0.18442506,0.065882385,0.05731455,0.11363379,0.218775,0.22012162,0.166649,0.1757651
0.22210993,0.43793026,0.56135166,0.41798726,0.25717467,0.10641142,0.09553324,0.12558663,0.2365297,0.24389109,0.17255965,0.1465894
0.12282974,0.3404607,0.49388626,0.47736067,0.32725355,0.21429935,0.30539823,0.1603886,0.1841566,0.23381528,0.16921979,0.08928793
0.1961681,0.19038676,0.23820367,0.33651692,0.13130167,0.22861929,0.71791697,0.3086313,0.08444288,0.11387172,0.14458053,0.18471739
0.1248009,0.06926239,0.10314961,0.2840269,0.05886248,0.24653298,0.8360994,0.3026889,0.0557044,0.07042244,0.0950237,0.12766542
0.13217007,0.08197634,0.13996282,0.34370655,0.059048757,0.23952036,0.81256324,0.2935866,0.04692719,0.06537617,0.09024199,0.12711602
0.13118866,0.07743533,0.13300948,0.3438593,0.05916366,0.23793446,0.8136137,0.29585704,0.046322677,0.06562252,0.09166493,0.12804732
0.12341605,0.07489703,0.13451144,0.33857343,0.05824417,0.242951,0.81671244,0.29889223,0.04332985,0.06225702,0.08641561,0.12016328
0.119477525,0.07411945,0.12555571,0.31916282,0.055538252,0.24523553,0.82599175,0.301832,0.04256023,0.061316594,0.08313974,0.11631383
0.11866321,0.082772076,0.14736208,0.32510915,0.064939074,0.27279627,0.794078,0.3387519,0.052848667,0.06653286,0.08534371,0.11491531
0.122889146,0.12788858,0.23557241,0.34110034,0.16615587,0.3605912,0.6406805,0.42621908,0.12976138,0.090672135,0.095625624,0.112815246
