Frame_Index,Energy
0,0.0
1,2.0
2,8.75
3,85.75
4,357.75
5,922.5
6,2063.0
7,3433.0
8,5255.75
9,7398.0
10,11152.25
11,16088.5
12,19396.25
13,76122.0
14,1790850.75
15,15073392.5
16,61711412.25
17,121864223.25
18,166040829.25
19,202020824.25
20,239165006.25
21,269053306.0
22,303599845.0
23,307612330.5
24,255105989.0
25,137861332.75
26,902485704.0
27,1834156702.0
28,2596624642.75
29,2166167722.5
30,2140327691.0
31,2065223385.25
32,1608086732.0
33,878586245.5
34,206793412.5
35,51748756.75
36,786645395.0
37,1295914851.25
38,1264908517.5
39,864514215.75
40,735534272.0
41,733388662.75
42,612803144.0
43,362092511.75
44,114805336.5
45,175714074.75
46,800488382.75
47,1303288404.0
48,1265132644.25
49,1141092008.5
50,1039821603.5
51,896108356.75
52,564115373.25
53,209995093.75
54,40683291.5
55,16867217.75
56,12113767.25
57,10491302.75
58,9471087.0
59,6383936.75
60,5795272.0
61,5092261.0
62,4872048.75
63,6930539.75
64,9822846.75
65,10449654.25
66,11075905.75
67,9483740.75
68,8474406.75
69,7654097.75
70,6415122.25
71,4166895.25
72,3073343.25
73,2816706.5
74,2588359.75
75,2443022.0
76,1985784.75
77,2157290.0
78,3476818.75
79,5347148.0
80,5198331.5
81,4488665.25
82,2934116.25
83,2283921.75
84,2098298.75
85,1837420.25
86,1775098.5
87,1428811.5
88,1300284.75
89,1730970.0
90,3095672.0
91,4320371.5
92,4795552.25
93,4459871.5
94,3389244.25
95,2825453.75
96,2977411.5
97,2475902.5
98,2649199.0
99,2605076.75
100,2249992.25
101,1731277.5
102,1097841.25
103,742188.0
104,642918.5
105,660463.0
106,746161.5
107,784986.5
108,616983.25
109,544542.25
110,505779.25
111,350707.25
112,286881.5
113,172789.5
114,188365.0
115,298529.5
116,289307.75
117,252325.5
118,220748.25
119,270139.0
120,319498.0
121,433068.0
122,469984.25
123,411546.0
124,341254.0
125,263358.75
126,215615.25
127,220131.25
128,232720.25
129,250146.25
130,390531.25
131,401786.5
132,322993.25
133,222514.0
134,235228.5
135,259987.5
136,207716.75
137,165788.0
138,113397.0
139,116497.25
140,119961.5
141,102687.0
142,86280.0
143,96399.0
144,112308.75
145,99946.0
146,80527.25
147,71326.25
148,63294.25
149,73167.5
150,113245.0
151,107375.5
152,88904.0
153,57509.25
154,35370.0
155,26261.5
156,33768.25
157,54681.0
158,93028.25
159,138752.25
160,153328.25
161,158138.0
162,149173.25
163,113509.5
164,87965.75
165,66557.75
166,60641.75
167,50929.0
168,49155.0
169,45176.75
170,36964.5
171,20564.75
172,21806.75
173,27571.75
174,32641.5
175,32231.5
176,40343.5
177,43491.75
178,41325.75
179,31885.0
180,34029.25
181,37511.5
182,31246.25
183,21911.5
184,11043.0
185,10632.25
186,9286.5
187,11459.25
188,11102.25
189,15076.25
190,12754.0
191,7909.0
192,4924.25
193,4817.75
194,5442.75
195,3837.0
196,3987.25
197,7069.75
198,8200.75
199,5956.25
200,2698.25
201,1454.0
202,1635.25
203,1799.25
204,1811.0
205,1503.75
206,1407.75
207,2085.5
208,2588.75
209,3215.0
210,2775.5
211,2472.0
212,2035.0
213,2214.25
214,2186.75
215,2309.25
216,2572.5
217,2731.0
218,2516.5
219,2373.5
220,1809.0
221,1913.0
222,1571.75
223,1861.0
224,3088.5
225,3119.75
226,3167.75
227,2395.5
228,1585.25
229,1515.0
230,1284.5
231,1107.5
232,1047.5
233,1225.75
234,1499.75
235,1561.25
236,1310.75
237,1158.75
238,860.0
239,763.75
240,704.5
241,614.0
242,561.75
243,453.0
244,277.0
245,172.75
246,103.75
247,94.0
248,66.75
249,24.75
250,7.5
251,2.75
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
