MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Delta9,Delta10,Delta11,Delta12,Delta13,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12
-2.5266857,-2.165024,1.008878,-0.87748736,1.596802,-2.3246095,2.705348,-2.395691,0.5204176,-1.0727774,1.3793343,-0.1814327,1.0447971,1.4250542,0.7940044,-0.08499807,0.5890249,-1.014244,2.0050786,-2.173879,2.0787365,-0.6162538,1.019854,-0.14663923,1.0196133,0.64522475,1.8254635,2.170011,1.689797,2.0325818,2.338154,2.0891464,1.3324691,0.9655685,1.2663267,1.5318049,1.8606341,1.8173195
-2.5266857,-2.165024,1.008878,-0.87748736,1.596802,-2.3246095,2.705348,-2.395691,0.5204176,-1.0727774,1.3793343,-0.1814327,1.0447971,1.4250542,0.7940044,-0.08499807,0.5890249,-1.014244,2.0050786,-2.173879,2.0787365,-0.6162538,1.019854,-0.14663923,1.0196133,0.64522475,1.4598749,1.73141,1.7863122,1.7962072,2.244628,1.8526212,1.1187431,0.8138318,1.0403129,1.221888,1.7584733,1.5790125
-2.5243418,-2.1531398,1.036403,-0.84441334,1.6313446,-2.2682233,2.751075,-2.3422618,0.58800626,-0.9866597,1.4353586,-0.113201514,1.1000686,1.4250542,0.7940044,-0.08499807,0.5890249,-1.014244,2.0050786,-2.173879,2.0787365,-0.6162538,1.019854,-0.14663923,1.0196133,0.64522475,-0.16520159,0.14383218,0.03648482,0.22500324,0.10486341,-0.27697137,-0.17468125,0.44758803,1.2701885,0.93158275,0.2695353,0.14135842
-1.1786233,-0.56719714,0.3159939,0.70903903,1.6605728,0.5527643,0.4531479,-0.18487889,3.3742716,-1.2078923,0.9040244,-0.9315558,1.2900245,1.4250542,0.7940044,-0.08499807,0.5890249,-1.014244,2.0050786,-2.173879,2.0787365,-0.6162538,1.019854,-0.14663923,1.0196133,0.64522475,-0.05438388,0.37142769,-0.43479425,-0.86003375,-1.0740545,-1.4269828,-1.4813354,-0.052131463,1.2701885,0.68885744,-0.049974076,-0.20261851
-0.7261056,-0.5542544,0.38386497,0.60156757,1.1508007,0.8156331,-0.14579195,0.1663472,2.1808183,-0.06417552,0.43564615,0.08633714,0.636343,1.4250542,0.7940044,-0.08499807,0.5890249,-1.014244,2.0050786,-2.173879,2.0787365,-0.6162538,1.019854,-0.14663923,1.0196133,0.64522475,0.06667198,1.1402812,0.066048525,-0.52144176,-0.85077435,-1.1513954,-1.165146,-0.12738307,1.2701885,0.57723904,0.07894704,-0.06497144
-0.77893937,-0.9505179,0.8089192,-0.16879795,0.6855983,0.8264275,0.045956723,0.7884109,0.8128214,0.31995243,0.55248487,0.33243796,0.41124195,1.1436759,0.57605904,0.042171046,0.35244823,-1.3817921,1.2903533,-1.6121045,1.6140617,-1.0605694,0.65466076,-0.03018507,0.8290674,0.3412772,0.8553297,1.8521762,1.7863122,0.7916261,-0.033502445,-0.3201443,-0.73629,-0.7799628,0.47793195,0.16827394,-0.1512933,0.34114975
-0.88264537,-1.5306515,0.576045,-0.24786797,0.6551495,0.97133315,-0.12997733,1.1110351,0.10374663,0.11952007,0.89105713,0.824571,1.6088445,0.7308133,0.14117524,-0.021601943,0.3244673,-1.3368926,0.7794514,-0.6695174,0.97175276,-1.4775323,0.264389,0.11735395,0.5340326,0.21082488,0.4023673,0.85356337,1.7863122,0.24858026,0.2603568,-0.3621489,-1.6663909,-1.9672779,-1.3833256,-1.0455241,-0.30757564,-0.06144649
-0.91411513,-1.5392394,0.8313641,-0.014749851,1.020387,1.4008831,-0.23594515,0.9838529,-0.02110101,0.31049332,1.2623088,1.0440215,2.3725727,0.77205247,0.4144628,-0.74066335,-0.2985739,-1.2521217,-0.30545232,-0.22437327,-0.36554077,-2.4824054,-0.9424692,-0.8701872,1.0617734,-0.47027105,1.4297144,1.7680671,1.7863122,0.75388324,1.7443999,0.3257691,-0.9212791,-1.8762499,-1.379413,-0.29778534,0.5559664,0.97348
-0.8905242,-1.1968601,1.1391656,-0.11687716,0.45714137,0.7053735,0.34837174,0.77012527,-0.17407286,0.046614077,1.6952933,1.0077095,1.4316611,1.3872811,1.3381015,-1.6108198,-0.11062601,-1.1551715,-0.6365051,-0.57005775,-0.87708336,-2.0971227,-1.7732235,-2.1068637,1.1532328,-1.32055,1.3196403,1.5662528,0.92452013,1.1879907,2.3872283,0.4548257,-0.77743846,-2.0148675,-1.4810714,-0.21346082,0.6267607,0.9878472
-0.8298631,-0.9521951,0.87465465,0.02812171,-0.24494337,-0.20634434,0.29796717,0.39082775,0.05551419,-0.6941093,1.0124882,0.20709197,0.81420094,1.9851795,2.166448,-2.2048151,0.20801745,-1.1458558,-0.74277776,-0.8770263,-1.1008353,-1.6494546,-1.6369256,-3.1149278,1.253907,-2.2450607,0.994521,1.5395263,1.3211942,1.8332396,2.3872283,0.3444152,-1.356201,-2.3126624,-1.2269913,0.19853894,0.43332443,0.526166
