MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Delta9,Delta10,Delta11,Delta12,Delta13,DeltaDelta1,DeltaDelta2,DeltaDelta3,DeltaDelta4,DeltaDelta5,DeltaDelta6,DeltaDelta7,DeltaDelta8,DeltaDelta9,DeltaDelta10,DeltaDelta11,DeltaDelta12,DeltaDelta13
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.232895,-0.5423447,2.7721224,-0.35746008,2.2229002,-0.48011467,-1.3117958,-0.69260216,-0.09760527,1.4323627,1.2836562,1.402652,0.10609652,23.343626,0.15107211,0.27420408,-0.34020433,0.57876766,-0.47716165,-0.48717055,-0.07674618,-0.35218883,0.041153364,0.21755965,0.2984393,-0.012665671
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.232895,-0.5423447,2.7721224,-0.35746008,2.2229002,-0.48011467,-1.3117958,-0.69260216,-0.09760527,1.4323627,1.2836562,1.402652,0.10609652,23.343626,0.15107211,0.27420408,-0.34020433,0.57876766,-0.47716165,-0.48717055,-0.07674618,-0.35218883,0.041153364,0.21755965,0.2984393,-0.012665671
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.232895,-0.5423447,2.7721224,-0.35746008,2.2229002,-0.48011467,-1.3117958,-0.69260216,-0.09760527,1.4323627,1.2836562,1.402652,0.10609652,23.343626,0.15107211,0.27420408,-0.34020433,0.57876766,-0.47716165,-0.48717055,-0.07674618,-0.35218883,0.041153364,0.21755965,0.2984393,-0.012665671
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.232895,-0.5423447,2.7721224,-0.35746008,2.2229002,-0.48011467,-1.3117958,-0.69260216,-0.09760527,1.4323627,1.2836562,1.402652,0.10609652,23.343626,0.15107211,0.27420408,-0.34020433,0.57876766,-0.47716165,-0.48717055,-0.07674618,-0.35218883,0.041153364,0.21755965,0.2984393,-0.012665671
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.232895,-0.5423447,2.7721224,-0.35746008,2.2229002,-0.48011467,-1.3117958,-0.69260216,-0.09760527,1.4323627,1.2836562,1.402652,0.10609652,23.343626,0.15107211,0.27420408,-0.34020433,0.57876766,-0.47716165,-0.48717055,-0.07674618,-0.35218883,0.041153364,0.21755965,0.2984393,-0.012665671
-651.73425,1.0723246,1.071594,1.0703795,1.0686806,1.0664973,1.0638337,1.0606947,1.0570867,1.0529959,1.0484445,1.0434335,1.0379665,55.321793,1.4986036,3.2171295,0.62833405,3.103415,-0.33276907,-1.2799346,-0.49207795,0.07853028,0.7399891,0.94752675,0.9479054,-0.6889384,24.908333,2.1175497,-0.10294098,0.7271163,0.67910916,-0.10561515,0.0060166726,0.3129994,-0.07712425,-0.9700067,-0.4718313,-0.54637367,-0.7586995
-582.1109,-12.026474,30.118574,-0.64949274,19.549925,2.0159845,-5.817149,-6.9066157,6.9746447,15.885742,9.844814,10.561001,-0.757092,73.011154,6.942568,4.1602445,2.8601646,1.7752036,-2.2623074,-2.6259997,-0.48325053,0.3108351,-0.60687494,0.57850826,0.5321276,-1.8535484,21.420824,6.17209,0.11506273,2.45226,-1.3707155,-1.72325,-0.9074276,0.35426798,0.17866299,-2.0778437,-0.88422704,-0.9836653,-1.4644817
-417.7456,-4.195247,24.948729,-0.31136462,15.03434,-3.6533625,-15.959726,-9.210522,-4.0782313,14.844375,14.062462,13.846462,3.0112076,85.81942,12.630534,2.878911,4.4337454,-0.93480784,-4.2744184,-4.0109363,0.32689166,1.1610456,-2.5701144,-0.043571115,0.3664218,-3.006555,11.3401165,8.042229,-1.6509778,2.610981,-3.679018,-2.5695906,-1.4161373,1.0324436,0.9170379,-2.9605107,-1.1935904,-0.8347999,-1.6763176
-305.44006,0.7564206,7.5431027,-5.071226,12.025616,-5.736315,-5.064526,-0.29300714,-2.1569996,2.1460392,3.5234785,5.113575,-0.54790354,90.8888,16.751429,-0.6739245,4.0336523,-3.0638764,-4.660829,-4.6760273,1.3719738,2.2727811,-4.3968344,-0.8650601,0.5532175,-3.2084854,-2.8060687,6.4295793,-4.2394567,0.4994116,-3.8427124,-1.2184224,-0.96490234,1.4472356,1.5586201,-2.719386,-1.2247345,-0.11161975,-0.65143716
-217.92421,27.01598,22.595608,13.546486,25.127363,0.63338536,-5.9664745,-0.8294992,3.0911584,-1.9033161,2.0778577,0.8199191,-11.239479,85.38536,19.120672,-5.654111,2.338698,-4.010395,-3.056576,-5.0095997,1.7675147,2.6148798,-5.455081,-1.1939884,0.84483516,-2.5299132,-16.838787,2.4721503,-5.789432,-2.1806886,-1.7027526,1.7110152,-0.42735812,0.7263578,1.1291041,-0.9745492,-0.26426423,0.8316684,0.9821069
-115.27515,84.815216,35.716125,35.623653,-1.7216904,-30.361526,-28.126986,-3.9123259,4.7064867,-12.196502,2.1039867,1.6094302,-19.592976,66.98649,19.863466,-9.772439,0.9550403,-3.45909,-0.6991354,-5.0725303,1.6861472,2.0746305,-5.583447,-1.0212625,0.7515063,-1.9453883,-24.792595,-2.5142488,-3.887849,-3.5149055,2.1741648,3.8480065,-0.4001093,-0.81734085,-0.20635134,1.71172,1.2438817,1.3665003,1.648646
-54.187244,109.679054,11.278431,34.655823,-22.879114,-39.1905,-35.74181,7.129314,15.151693,-24.491257,-1.1659294,5.762868,-24.31717,40.763573,17.332035,-10.226336,-0.43451917,-1.0725359,1.4184793,-4.7391067,1.2152319,2.2318845,-3.8586483,-0.59969574,0.7282428,-1.8764403,-26.232407,-5.9537463,-2.1315691,-3.4540083,3.9313421,3.913474,0.4017364,-1.1492262,-1.5166034,2.8895993,1.2913419,0.4728758,1.4714204
-20.6941,113.59274,-19.974491,13.7146635,-19.884747,-24.602621,-33.879574,12.435741,22.862494,-28.566278,-4.448556,12.491107,-16.130314,18.298853,13.333742,-9.803469,-1.8569846,0.50472504,2.7410614,-4.1919613,0.76938665,1.9337928,-1.7027267,-0.14671385,1.4026281,-0.9535628,-25.706268,-7.5167084,0.27370247,-2.340197,3.9707072,2.7969465,2.358673,-0.44293013,-1.1182812,2.693059,0.071227364,-0.48769468,0.8661217
-21.336838,115.716156,-46.378376,-2.2795842,-7.1176853,-0.8933188,-37.376686,5.8015594,17.033566,-24.180754,1.8277143,17.186214,-6.955359,-0.44513112,7.4797516,-9.465775,-4.084462,1.815963,3.5376606,-2.4993043,0.9689473,1.5245563,-0.1121005,-0.21324548,1.6929419,-0.039807256,-20.286003,-6.019541,4.313108,0.13269989,3.0798492,0.7034574,2.4275205,-0.16978677,-0.4576583,2.185549,-0.2988272,-0.6542944,-0.20023592
-57.927425,118.90804,-46.384598,0.4819966,12.234394,8.848044,-43.991028,-1.2275462,6.7353735,-17.593971,8.4989,14.404279,-11.402365,-17.0349,1.8123896,-7.4714246,-5.1733866,4.304098,5.281371,-0.23985882,0.82751423,0.94456357,1.1279831,-0.19098662,1.5064963,0.56841564,-12.256136,-2.5050788,5.796097,1.7890269,-0.3118082,-2.3024073,1.2338458,-0.020023914,-0.15374316,0.60510385,-0.3822805,-0.38423738,-0.53693956
-113.865456,115.62708,-39.59088,2.3962133,19.453007,6.009184,-40.7082,2.3163147,11.220551,-12.99918,3.0986667,6.8985095,-20.002275,-25.277771,-5.028203,-0.95349795,-4.6424503,5.0526333,4.7862053,0.37791666,0.1055745,-0.7794021,2.3138874,0.15228935,0.36048508,1.4535738,-3.4027915,-5.116961,6.002464,0.97806305,-2.2451963,-2.5568492,0.53889936,0.5251845,-0.43605793,-0.28188977,-0.25657126,-0.61588347,0.49879274
-145.8878,115.748535,-37.404503,2.2413886,12.933859,2.1686769,-33.546913,7.877981,19.267937,-12.451856,-3.3887038,12.340792,-16.715006,-25.67019,-15.077727,6.548617,-1.3728772,2.9717605,3.933555,1.5606242,-1.1786598,-2.0039327,2.6797168,-0.016780188,-1.0779531,1.1313683,5.2020736,-11.125525,6.016216,1.2727622,-2.7844481,-0.11350658,1.199262,-0.8020149,-1.0102631,-0.3299062,-0.1994637,-0.90555036,1.1233654
-162.49425,111.70943,-32.51336,-3.2457757,12.1793,-1.6618646,-34.380035,10.684301,21.035767,-11.882423,-2.3704686,17.119413,-17.3345,-19.977222,-23.028126,11.101504,1.3477346,0.2603725,2.7392004,2.7008111,-1.884512,-2.0455184,2.2247508,-0.50115556,-1.654663,0.87277627,10.309005,-11.617913,4.1396966,2.087899,-2.2119715,1.3019674,0.89051557,-2.0727513,-1.4716433,-0.14094116,0.36969325,-0.7439628,0.86991924
