Frame,Normalized_Energy
1,-1.1399503
2,-1.1399503
3,-1.1399503
4,-1.1399503
5,-1.1399503
6,-1.0844659
7,-0.5667682
8,0.0259139
9,0.3397554
10,0.9585322
11,1.3553118
12,1.4718479
13,1.5757631
14,1.5927744
15,1.5126199
16,1.2995723
17,1.230922
18,1.163632
19,0.9835317
20,0.83707756
21,0.7377448
22,0.746929
23,0.7772493
24,0.70395803
25,0.48271707
26,0.35850778
27,0.33630008
28,0.22406068
29,0.036651317
30,-0.27236757
31,-0.606968
32,-0.7437826
33,-0.84395933
34,-0.98180383
35,-1.1118037
36,-1.1399503
37,-1.1399503
38,-1.1399503
39,-1.1399503
40,-1.1399503
41,-1.1399503
