MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
0.3110665,0.0,0.71704775,0.38846666,0.61532176,0.5510807,0.6935724,0.26881754,0.6981436,1.0,1.0,1.0,0.4614635
0.7909926,0.20994428,0.8233297,0.37924913,0.507892,0.4574103,0.59209543,0.30745518,0.5781957,0.58858997,0.6764511,0.99963254,1.0
0.93978167,0.23769452,0.84316,0.28971857,0.48127335,0.49686298,0.6677998,0.3725024,0.6261265,0.5367661,0.9159073,0.8901071,0.7921803
0.9726678,0.17583218,0.92881423,0.2459656,0.5411822,0.4072983,0.76380754,0.35777748,0.68085337,0.67113423,0.92695254,0.61934537,0.4275664
0.9859625,0.07455592,0.98545885,0.23734722,0.632209,0.35820916,0.738695,0.35452163,0.6848886,0.5976667,0.49055392,0.737572,0.41273314
0.99999994,0.020095874,1.0,0.20512795,0.5468448,0.4203684,0.5988759,0.643689,0.60807586,0.6144635,0.4074312,0.636711,0.23739287
0.9961406,0.026258,0.9927827,0.26060885,0.40337187,0.61886513,0.32392,0.933245,0.31540215,0.7424475,0.16913095,0.60355735,0.18603791
0.96929723,0.045960203,0.89390796,0.4476776,0.22538814,0.89274776,0.0,0.95249027,0.0914477,0.60702205,0.2441276,0.67179847,0.20791014
0.9440613,0.09618075,0.70410633,0.6310381,0.03656915,1.0000001,0.1504331,0.837595,0.22638348,0.35920188,0.45447505,0.5728685,0.30439335
0.9163551,0.1762365,0.5526928,0.7546546,0.005701065,0.96342254,0.4057578,0.4331236,0.30828062,0.27215594,0.5526523,0.63640827,0.33097535
0.88943005,0.29828554,0.5017316,0.9141742,0.0,0.799868,0.5258548,0.20420976,0.5476204,0.37868813,0.35137796,0.646585,0.3603668
0.8651529,0.40666503,0.4261641,0.9608699,0.057097256,0.60201347,0.79918647,0.15769358,0.42044097,0.5800759,0.14728601,0.61132497,0.32520652
0.82888687,0.5238541,0.26668578,0.9921559,0.25597188,0.2718728,1.0,0.3400969,0.2066155,0.79329115,0.27534562,0.49167782,0.21486197
0.77947104,0.6085088,0.15745398,1.0,0.4254845,0.036300182,0.90029013,0.71625656,0.0,0.75008416,0.49109316,0.62498164,0.30626175
0.72857445,0.7149197,0.13824132,0.9442301,0.50806415,0.0,0.65060157,0.8707449,0.06987597,0.51713043,0.53402126,0.6259589,0.34747657
0.6800225,0.7981168,0.090780765,0.79651034,0.59736645,0.10526469,0.5040688,1.0,0.35512766,0.3370208,0.48558617,0.63418216,0.2912964
0.6264358,0.83284104,0.04525888,0.7557206,0.6913756,0.12886953,0.35069713,0.95055145,0.5409845,0.34200767,0.6233049,0.6393044,0.2721239
0.5617302,0.9080895,0.04519728,0.65929276,0.7602494,0.2503231,0.27945426,0.7237895,0.6614036,0.2971125,0.30563104,0.7121539,0.6067482
0.5033535,0.95903134,0.0052034557,0.5588,0.8227512,0.2946612,0.31037235,0.6067034,0.73712885,0.2088244,0.2675221,0.6602534,0.64335847
0.43977457,1.0,0.0,0.42500097,0.8675839,0.41455713,0.38450688,0.44208062,0.92140913,0.30501994,0.3340634,0.5360973,0.65694165
0.3638258,0.9851935,0.07953131,0.28746977,0.91057813,0.22149271,0.4112423,0.19971932,0.9998023,0.43726173,0.39196706,0.54331553,0.77860194
0.28393996,0.8917289,0.1739141,0.13291246,0.9431696,0.18309987,0.41443464,0.11091624,1.0000001,0.57346267,0.4294185,0.5125261,0.8788691
0.21600997,0.82275724,0.34369397,0.016511574,0.99999994,0.37823513,0.3948594,0.26406235,0.80305743,0.50407946,0.521159,0.4569713,0.932304
0.14966905,0.6622325,0.4799509,0.0,0.9786086,0.648546,0.38081682,0.17008327,0.92561084,0.4540206,0.5769196,0.57448137,0.77779263
0.07817733,0.4391728,0.62828344,0.10913834,0.8494871,0.6509404,0.5200333,0.0,0.80678123,0.60878867,0.52872145,0.2689987,0.3830887
0.020981073,0.22800453,0.70928246,0.23099706,0.7300155,0.45935068,0.73580873,0.28609926,0.63129836,0.34710592,0.20200282,0.016770244,0.17402191
0.0037335157,0.14287034,0.6667414,0.14189497,0.55560786,0.14593053,0.60850537,0.15646733,0.25014552,0.060489025,0.10191343,0.08087323,0.110762216
0.00033771992,0.120317966,0.64267695,0.10506147,0.5123143,0.06428853,0.5453391,0.08733483,0.16663933,0.0032168701,0.039089166,0.053988583,0.08342496
0.0,0.11840846,0.64185977,0.10620649,0.5154508,0.07202342,0.55182934,0.0923962,0.16797014,0.0018900931,0.036061853,0.05225992,0.08198657
0.00022006035,0.12004572,0.6439384,0.10932246,0.5184455,0.07618514,0.5533867,0.09136219,0.16477332,0.0,0.035669126,0.053654384,0.08410026
0.00045633316,0.12160212,0.64539754,0.11083566,0.51953435,0.07788533,0.5554211,0.09580013,0.17327894,0.008449081,0.050988946,0.06456452,0.09500312
0.0032024384,0.1405919,0.6660389,0.13822177,0.54604197,0.12481153,0.5947026,0.13870446,0.21206643,0.026161347,0.062725425,0.06326772,0.084819086
0.0060836077,0.16094881,0.68945813,0.17160597,0.580372,0.18679684,0.6435057,0.18092914,0.22773832,0.009941701,0.0,0.0,0.0
