MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-287.359,19.016447,-4.724157,-15.393951,2.6678896,6.7361183,-1.8715723,8.868443,-10.443609,-4.344026,10.259268,3.2759376,2.8706903
-76.39355,45.051025,4.3058915,-26.97583,-27.498354,-6.3225784,-13.609108,8.105438,-11.212115,-6.866761,7.287861,4.2559834,0.737614
-49.954914,47.440464,6.626173,-29.222733,-40.74581,-5.6690187,-19.159264,8.883361,-9.803595,-9.88139,6.845776,5.187881,-1.3452681
-148.47314,37.470745,14.370606,-31.363064,-58.25701,-5.3251743,-26.974695,10.959432,-8.4450655,-16.534578,3.0641394,5.8252606,-2.4150732
-294.84683,-17.508663,33.790665,-12.287444,-44.085426,5.0448723,-21.658045,4.2277308,-13.342317,-23.685709,-13.566801,-22.422379,-27.125196
-251.05698,-6.755539,14.230087,-10.122427,-32.720192,7.2903013,-29.786213,9.77625,-6.7075796,-26.009377,-5.237551,-16.333601,-21.434393
-239.76245,-0.66339225,15.503898,-13.42588,-35.407673,5.846264,-33.009842,9.7903595,-5.534891,-27.9055,-3.7181244,-14.626685,-20.377167
-266.088,0.4622571,35.44034,-27.041084,-58.15249,4.083893,-32.29196,0.9270394,-9.71241,-29.771416,-7.687309,-16.040422,-24.777454
-277.71262,3.6819,41.976006,-33.938766,-66.06004,10.579073,-34.964165,-4.696192,-14.700626,-27.718636,-9.707727,-22.571058,-28.964354
-268.0704,9.018384,44.895485,-36.4041,-69.64819,9.290889,-35.144302,-7.073715,-14.021904,-31.393171,-9.660069,-21.936335,-26.29616
-264.6926,9.570923,48.065426,-38.779297,-70.492615,9.926799,-34.694607,-6.868168,-15.223196,-33.481434,-10.731986,-17.461143,-25.506485
-268.95108,5.785363,46.674454,-34.162964,-67.2901,9.60887,-38.217754,-3.090691,-14.53288,-30.67591,-9.0117235,-16.369942,-23.8778
