MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-651.73425,1.0723246,1.071594,1.0703795,1.0686806,1.0664973,1.0638337,1.0606947,1.0570867,1.0529959,1.0484445,1.0434335,1.0379665
-582.1109,-12.026474,30.118574,-0.64949274,19.549925,2.0159845,-5.817149,-6.9066157,6.9746447,15.885742,9.844814,10.561001,-0.757092
-417.7456,-4.195247,24.948729,-0.31136462,15.03434,-3.6533625,-15.959726,-9.210522,-4.0782313,14.844375,14.062462,13.846462,3.0112076
-305.44006,0.7564206,7.5431027,-5.071226,12.025616,-5.736315,-5.064526,-0.29300714,-2.1569996,2.1460392,3.5234785,5.113575,-0.54790354
-217.92421,27.01598,22.595608,13.546486,25.127363,0.63338536,-5.9664745,-0.8294992,3.0911584,-1.9033161,2.0778577,0.8199191,-11.239479
-115.27515,84.815216,35.716125,35.623653,-1.7216904,-30.361526,-28.126986,-3.9123259,4.7064867,-12.196502,2.1039867,1.6094302,-19.592976
-54.187244,109.679054,11.278431,34.655823,-22.879114,-39.1905,-35.74181,7.129314,15.151693,-24.491257,-1.1659294,5.762868,-24.31717
-20.6941,113.59274,-19.974491,13.7146635,-19.884747,-24.602621,-33.879574,12.435741,22.862494,-28.566278,-4.448556,12.491107,-16.130314
-21.336838,115.716156,-46.378376,-2.2795842,-7.1176853,-0.8933188,-37.376686,5.8015594,17.033566,-24.180754,1.8277143,17.186214,-6.955359
-57.927425,118.90804,-46.384598,0.4819966,12.234394,8.848044,-43.991028,-1.2275462,6.7353735,-17.593971,8.4989,14.404279,-11.402365
-113.865456,115.62708,-39.59088,2.3962133,19.453007,6.009184,-40.7082,2.3163147,11.220551,-12.99918,3.0986667,6.8985095,-20.002275
-145.8878,115.748535,-37.404503,2.2413886,12.933859,2.1686769,-33.546913,7.877981,19.267937,-12.451856,-3.3887038,12.340792,-16.715006
-162.49425,111.70943,-32.51336,-3.2457757,12.1793,-1.6618646,-34.380035,10.684301,21.035767,-11.882423,-2.3704686,17.119413,-17.3345
-203.83939,109.42265,-36.49327,-8.983255,13.493996,5.60129,-32.07965,8.984339,17.712418,-15.585985,-0.7050724,18.33655,-12.749668
-203.42604,40.17682,0.18751472,-17.914244,18.052967,12.003763,-35.532356,6.5837307,2.188978,-6.952861,3.3817906,7.3353343,1.4686852
-184.06688,-50.196556,36.615303,10.990623,7.0022984,28.269032,-19.391188,-13.028723,-4.005383,-2.5746279,0.10345423,-0.8113912,-5.471115
-167.1224,-63.57067,37.777252,23.016354,1.2719595,21.773502,-18.269136,-16.025536,-0.6889787,-4.3136287,-0.20550409,2.0606709,-10.038967
-179.59738,-45.773342,22.67416,26.916111,-4.269911,17.49201,-12.090771,-12.652229,2.937038,-5.5395155,-1.0465658,10.039255,-6.0618153
-224.68721,-33.387886,10.2806835,27.526192,-4.646906,20.71986,-7.7301197,-10.164341,4.2943497,0.070730165,2.0222478,11.3997,-0.46628076
-280.7897,-26.885658,17.71724,23.560154,-8.098374,18.231655,-9.859114,-11.420147,-0.6989542,-0.20010579,6.6495743,12.122071,1.1823502
-313.83865,-35.78409,22.633152,24.674744,-6.327122,20.381802,-11.342874,-6.65217,3.8766522,-0.28168845,4.479027,9.596376,-0.06375241
-339.25488,-40.692795,19.230259,28.155775,-4.4110975,24.449572,-10.552603,-1.5613885,8.59976,1.4053006,6.198552,13.558531,0.8341952
-378.37524,-33.282784,14.357075,32.656326,-6.82885,27.0314,-9.33161,-0.95078695,10.886584,5.708639,5.76177,12.846958,-1.7735415
