MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-0.01586268,0.6450159,-4.049786,1.8207734,4.605662,0.5253168,4.172114,2.0650127,1.0095497,3.639964,3.9020658,3.2241814,3.5943418
3.1555061,2.222388,-3.1930869,0.5337213,2.5263047,-2.095181,2.6922445,1.926408,0.85339636,3.287757,3.323952,3.3667388,3.3267987
3.5529487,2.3671582,-2.9729571,0.2840313,1.6131588,-1.9640309,1.9924805,2.0677228,1.1395949,2.8668745,3.2379403,3.5022929,3.065551
2.071959,1.7631171,-2.238227,0.04618406,0.40611336,-1.8950313,1.0071102,2.4448547,1.4156357,1.9380006,2.5021887,3.5950065,2.9313698
-0.12842448,-1.567952,-0.39580634,2.1659882,1.3829595,0.18593325,1.677434,1.2219968,0.42055887,0.93960756,-0.73350984,-0.51390004,-0.16792192
0.5298529,-0.91644627,-2.2515583,2.4065788,2.1663642,0.6365251,0.6526339,2.2299218,1.7686771,0.6151926,0.8870204,0.37177458,0.5458527
0.6996395,-0.54733783,-2.1307092,2.039478,1.9811163,0.34674907,0.2461985,2.232485,2.0069566,0.35046843,1.1826385,0.6200628,0.67845637
0.30389664,-0.47913748,-0.2392985,0.5264699,0.4133181,-0.006907179,0.3367089,0.6224046,1.1581228,0.08996177,0.4103981,0.41442037,0.12654595
0.12914811,-0.2840671,0.3807536,-0.24004439,-0.13174896,1.2964852,-0.00020266588,-0.39909238,0.1445627,0.37655726,0.017307557,-0.535527,-0.3986
0.27409607,0.03925752,0.6577306,-0.5140078,-0.37907982,1.0379844,-0.022914432,-0.8309852,0.2824729,-0.13645692,0.026579844,-0.4432,-0.06393917
0.32487345,0.07273451,0.9584693,-0.77795494,-0.4372857,1.1655929,0.03378322,-0.79364616,0.038381312,-0.4280062,-0.18197115,0.20776206,0.035106566
0.26085716,-0.15662338,0.8265049,-0.26495862,-0.21653667,1.1017939,-0.4104155,-0.10744261,0.17864728,-0.03631782,0.15272136,0.36648846,0.23938598
0.24167274,-0.21818237,0.99215496,-0.117190905,-0.24817125,0.5283677,-0.390501,0.5962401,-0.84684825,-0.6745797,-0.16897383,-0.88412637,-0.29435864
