MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
-2.5266857,-2.165024,1.008878,-0.87748736,1.596802,-2.3246095,2.705348,-2.395691,0.5204176,-1.0727774,1.3793343,-0.1814327,1.0447971
-2.5266857,-2.165024,1.008878,-0.87748736,1.596802,-2.3246095,2.705348,-2.395691,0.5204176,-1.0727774,1.3793343,-0.1814327,1.0447971
-2.5243418,-2.1531398,1.036403,-0.84441334,1.6313446,-2.2682233,2.751075,-2.3422618,0.58800626,-0.9866597,1.4353586,-0.113201514,1.1000686
-1.1786233,-0.56719714,0.3159939,0.70903903,1.6605728,0.5527643,0.4531479,-0.18487889,3.3742716,-1.2078923,0.9040244,-0.9315558,1.2900245
-0.7261056,-0.5542544,0.38386497,0.60156757,1.1508007,0.8156331,-0.14579195,0.1663472,2.1808183,-0.06417552,0.43564615,0.08633714,0.636343
-0.77893937,-0.9505179,0.8089192,-0.16879795,0.6855983,0.8264275,0.045956723,0.7884109,0.8128214,0.31995243,0.55248487,0.33243796,0.41124195
-0.88264537,-1.5306515,0.576045,-0.24786797,0.6551495,0.97133315,-0.12997733,1.1110351,0.10374663,0.11952007,0.89105713,0.824571,1.6088445
-0.91411513,-1.5392394,0.8313641,-0.014749851,1.020387,1.4008831,-0.23594515,0.9838529,-0.02110101,0.31049332,1.2623088,1.0440215,2.3725727
-0.8905242,-1.1968601,1.1391656,-0.11687716,0.45714137,0.7053735,0.34837174,0.77012527,-0.17407286,0.046614077,1.6952933,1.0077095,1.4316611
-0.8298631,-0.9521951,0.87465465,0.02812171,-0.24494337,-0.20634434,0.29796717,0.39082775,0.05551419,-0.6941093,1.0124882,0.20709197,0.81420094
-0.7566147,-1.0998932,0.30300644,0.7919085,0.2625843,1.093443,0.7504005,0.42646414,0.017489592,-0.6772589,0.98829484,0.034666426,1.1075352
0.89505947,0.6234642,-1.7545303,-0.36507925,-0.020574952,-0.2916012,-1.1726637,-1.520885,-1.8735595,-3.2198074,-1.6449592,2.1259665,-0.059829365
1.599852,0.6869382,-1.9775524,-0.09779135,-0.44150668,-0.4749807,-1.470594,-0.9395737,-1.997337,-2.3345432,-2.2920082,2.5831995,-0.92950845
1.6825657,0.78622913,-1.8575301,0.17153831,-0.53547895,-0.2110893,-1.0956697,-0.49638486,-1.6700628,-1.0451915,-2.008983,2.2132938,-0.817462
1.4605231,0.8802383,-1.9050153,0.36195287,-0.93661696,-0.47924602,-0.6185072,-0.48735982,-1.7210156,0.93146545,-0.9655243,1.0390472,-0.37551606
1.2000612,0.88690466,-2.4507692,0.31993943,-1.0950004,-0.35176483,-0.76937824,-0.46700606,-1.8709501,1.6308802,-0.7441726,-0.16234964,-0.54538083
0.96950936,0.97345316,-2.509328,0.25815997,-0.55623555,0.31334364,-0.67609286,-0.44727412,-1.2927496,-0.5050905,-0.60919255,0.40999183,-0.0929544
0.7458332,0.85078686,-2.3563168,0.25489387,-0.2007784,-0.047816396,-0.727114,-0.39528862,-1.0148491,-1.7563943,-0.8225977,0.097668,-0.34959087
