MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
-1.050389,-0.3208224,-0.052749336,-0.5674871,-0.07379653,-0.2308882,0.8035544,0.28150466,-0.5200335,0.3625672,-0.383586,-0.8834964,0.63327014
-0.75209963,-0.56757265,1.3191445,-0.6907806,1.7521937,-0.16172893,0.3526236,-0.96186906,0.33841586,1.8979686,1.6663394,0.6935907,0.39759073
-0.047904495,-0.42005095,1.0749718,-0.666541,1.3060433,-0.5746759,-0.312049,-1.3214153,-1.2650046,1.7901721,2.6492293,1.2380008,0.8923437
0.43324953,-0.3267733,0.2529011,-1.0077641,1.0087743,-0.72639513,0.40194517,0.070246756,-0.9862951,0.4757128,0.19320138,-0.20906274,0.4250558
0.80819637,0.16789441,0.9638335,0.326895,2.3032577,-0.26243547,0.34283787,-0.013477872,-0.22495441,0.0565466,-0.14368926,-0.9205334,-0.9786778
1.2479788,1.2566947,1.5835178,1.9095541,-0.34949175,-2.5200596,-1.1094049,-0.49458197,0.0093783215,-1.0089453,-0.1376001,-0.7897092,-2.075437
1.5096996,1.7250704,0.4293213,1.8401726,-2.439895,-3.163149,-1.6084266,1.2285697,1.5246453,-2.2816284,-0.8996285,-0.1014731,-2.6956925
1.6531953,1.798795,-1.0467595,0.33895126,-2.1440444,-2.1005895,-1.4863888,2.0566876,2.6432374,-2.7034514,-1.664619,1.0134146,-1.6208123
1.6504415,1.8387951,-2.2938194,-0.80763793,-0.88262874,-0.37363836,-1.7155647,1.0213612,1.7976451,-2.2494867,-0.20198323,1.791407,-0.416201
1.4936754,1.8989226,-2.2941132,-0.6096669,1.0294021,0.33590832,-2.1490216,-0.075596854,0.30370522,-1.5676606,1.3526846,1.3304325,-1.0000637
1.2540184,1.8371171,-1.9732449,-0.47244126,1.742618,0.12912989,-1.9338884,0.47745597,0.9543617,-1.092034,0.094202295,0.08670584,-2.1291754
1.1168242,1.839405,-1.8699819,-0.48354027,1.0985109,-0.15060705,-1.4645886,1.3454063,2.1217813,-1.0353781,-1.4176288,0.988507,-1.6975785
1.0456766,1.7633177,-1.6389723,-0.87690187,1.0239587,-0.42961812,-1.5191855,1.783359,2.3782372,-0.9764337,-1.180337,1.7803379,-1.778914
0.8685404,1.7202404,-1.8269442,-1.288208,1.1538537,0.0994195,-1.3684347,1.5180639,1.896125,-1.3598053,-0.7922294,1.9820207,-1.1769557
0.8703113,0.4158134,-0.09450455,-1.9284492,1.6042907,0.5657663,-1.5947005,1.1434264,-0.35583207,-0.4661535,0.16018213,0.15908892,0.68982065
0.9532524,-1.2866063,1.6259861,0.14367138,0.5124588,1.7505047,-0.5369227,-1.9172815,-1.2544366,-0.012943765,-0.6038086,-1.190846,-0.22132951
1.025848,-1.5385429,1.6808652,1.0057671,-0.053712104,1.2773799,-0.46339136,-2.3849623,-0.773332,-0.19295523,-0.6758089,-0.7149374,-0.8210585
0.97240114,-1.2032835,0.96754354,1.2853314,-0.6012619,0.9655222,-0.05850509,-1.8585261,-0.24731238,-0.31985202,-0.87181175,0.6071361,-0.29888457
0.7792214,-0.96997094,0.38219753,1.3290665,-0.63850987,1.2006341,0.22726107,-1.4702678,-0.05040965,0.2608886,-0.15664873,0.83256555,0.43577236
0.5388598,-0.8474844,0.7334273,1.0447508,-0.9795231,1.0193969,0.08774189,-1.6662481,-0.77477914,0.23285323,0.9217136,0.9522644,0.65222675
0.3972672,-1.0151097,0.96560675,1.1246531,-0.8045192,1.1760104,-0.009493215,-0.92216045,-0.11100425,0.22440827,0.41588444,0.5337498,0.48862165
0.28837568,-1.107578,0.80488753,1.3741999,-0.6152115,1.4723009,0.042295534,-0.12769608,0.5741684,0.39903575,0.8166064,1.1902897,0.6065163
0.120771125,-0.96799105,0.57472616,1.6968336,-0.8540911,1.6603576,0.12231076,-0.03240597,0.9059138,0.84449285,0.7148177,1.0723802,0.2641376
-0.1230445,-0.7241239,0.1768817,1.9276633,-1.1168969,1.4136907,0.68687814,-0.27907464,0.45943546,0.97534126,1.771039,1.1730285,0.17843533
-0.45317614,-0.31347373,-0.045751587,1.7344487,-1.4015695,0.89009196,0.80597484,-0.8051948,-0.64152944,1.0835487,2.2272704,0.8724185,0.9209786
-0.8670917,0.061939895,0.247479,0.6313346,-0.58621466,0.21776366,1.4012511,-0.6777493,-0.7160968,1.175211,1.9114794,0.14363188,1.0622696
-1.0121559,-0.12047157,0.34991667,0.023721866,0.5831046,0.15579124,1.1711522,1.0193452,0.11824309,1.0058851,0.956563,-0.28971708,1.177659
-1.0356652,-0.22936985,0.17577203,-0.22257033,0.39786056,0.11333191,1.1094534,0.99943405,0.13621336,0.82201326,0.6290266,-0.18017589,1.1764276
-1.0442919,-0.28292754,0.04211923,-0.42385274,0.12347102,-0.08611652,0.933085,0.58794385,-0.23734027,0.5625411,0.062247045,-0.56991,0.8787852
-1.0519623,-0.33060586,-0.07728731,-0.60475385,-0.1252012,-0.26882458,0.76937926,0.1999971,-0.59593153,0.30830425,-0.50601125,-0.9707512,0.5639579
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
-1.0536385,-0.34102246,-0.1033609,-0.64422005,-0.1793847,-0.30857033,0.73383826,0.11597328,-0.6733831,0.25356704,-0.62791777,-1.0563962,0.49699193
