Frame_Index,Dominant_Frequency_Hz
1,5200.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,640.0
19,440.0
20,440.0
21,440.0
22,400.0
23,280.0
24,280.0
25,240.0
26,520.0
27,400.0
28,400.0
29,320.0
30,320.0
31,280.0
32,360.0
33,240.0
34,400.0
35,320.0
36,240.0
37,240.0
38,200.0
39,2440.0
40,400.0
41,160.0
42,200.0
43,240.0
44,200.0
45,160.0
46,160.0
47,160.0
48,160.0
49,280.0
50,1200.0
51,160.0
52,240.0
53,240.0
54,240.0
55,200.0
56,1320.0
57,1440.0
58,120.0
59,1560.0
60,280.0
61,1560.0
62,1280.0
63,1280.0
64,1240.0
65,1640.0
66,1640.0
67,120.0
68,1560.0
69,1280.0
70,1280.0
71,1800.0
72,160.0
73,120.0
74,1480.0
75,520.0
76,1440.0
77,1440.0
78,1480.0
79,1560.0
80,2120.0
81,2120.0
82,6720.0
83,6480.0
84,1440.0
85,720.0
86,2200.0
87,1560.0
88,1720.0
89,0.0
90,520.0
91,0.0
92,0.0
93,480.0
94,0.0
95,0.0
96,0.0
97,520.0
98,600.0
99,400.0
100,0.0
101,840.0
102,560.0
103,560.0
104,320.0
105,400.0
106,480.0
107,1480.0
108,480.0
109,5560.0
110,6760.0
111,480.0
112,1320.0
113,1280.0
114,2440.0
115,2000.0
116,3200.0
117,1280.0
118,480.0
119,0.0
120,0.0
121,0.0
122,0.0
123,360.0
124,0.0
125,400.0
126,2000.0
127,2000.0
128,1960.0
129,4640.0
130,1520.0
131,1720.0
132,1040.0
133,0.0
134,0.0
135,440.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,360.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
