0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
-72.40157,-61.183712,-59.01918,-58.664356,-51.8304,-42.973377,-41.106815,-39.203487,-35.53726,-35.727745,-36.391888,-31.5783,-27.82632,-28.866402,-29.256874,-28.324898,-25.528214,-24.170921,-25.915825,-25.844551,-27.951427,-22.478388,-18.216877,-20.852402,-26.599716,-19.583302,-21.461878,-19.285666,-19.075014,-22.290464,-22.258024,-25.353485,-22.99974,-21.716927,-28.259972,-21.97732,-21.023376,-21.952366,-22.315866,-21.574158,-21.496262,-24.086617,-31.409676,-31.560009,-29.859047,-26.234371,-22.313358,-24.346832,-27.289516,-26.930195,-22.77334,-24.070545,-24.258598,-20.098684,-17.53531,-20.258696,-19.737476,-20.530397,-27.575405,-27.26709,-23.901726,-20.420109,-24.282196,-24.76144,-23.310734,-29.378586,-27.971893,-29.827631,-31.748032,-33.166733,-37.789577,-48.132607,-35.258404,-26.324112,-27.191908,-40.972473,-55.84418,-57.0555,-48.861404,-33.858223,-26.305492,-25.175621,-29.100235,-24.20057,-24.989944,-34.808994,-36.826023,-36.898552,-43.576057,-55.537453,-61.901314,-64.40739,-69.08538
-64.95199,-52.904797,-48.977856,-45.680283,-34.837322,-25.67588,-20.099371,-17.55224,-16.919308,-15.002651,-16.147755,-9.732286,-5.9801884,-7.7751484,-7.074293,-6.958597,-8.772875,-9.127632,-9.323042,-9.174931,-9.118553,-5.0884733,-4.3215714,-5.6866446,-10.137909,-7.055456,-6.9379115,-5.2295284,-4.530175,-6.2520647,-5.8635025,-10.084936,-10.19341,-8.111779,-7.529523,-2.2197409,-0.8330431,-4.3434362,-4.8119783,-1.5005283,9.536743e-07,-3.609788,-9.999628,-14.27054,-14.653353,-8.406461,-7.694331,-11.49665,-10.024384,-8.019616,-9.282741,-10.780198,-9.772362,-6.518424,-3.7565851,-4.651925,-2.1791573,-4.1540728,-5.406028,-5.554782,-7.5899124,-3.0903645,-5.0927143,-7.238636,-7.057026,-8.492538,-9.414293,-14.553444,-17.26809,-15.059318,-18.664024,-29.0295,-26.528397,-12.656627,-9.455499,-15.616121,-29.718407,-44.06397,-26.69344,-17.942535,-12.63506,-5.5562086,-4.2460995,-7.3468533,-9.025953,-12.41172,-18.943045,-17.010067,-18.468853,-27.872393,-41.61534,-53.35281,-59.383396
-66.702,-58.958576,-54.144707,-49.667004,-36.390675,-30.131207,-23.880043,-20.226406,-19.824879,-19.771858,-19.890871,-12.889008,-9.464663,-10.761526,-10.451557,-10.6462965,-12.32087,-12.970917,-13.568164,-13.291226,-11.488144,-7.8293777,-9.934812,-12.181975,-13.638634,-9.462675,-10.502484,-9.211798,-10.391405,-9.796358,-10.510342,-11.971971,-13.077487,-10.86404,-10.828325,-7.0644894,-5.9579725,-8.953854,-8.775122,-7.1253977,-5.371537,-9.184453,-14.502714,-18.116152,-19.322708,-13.672466,-13.262125,-16.53197,-14.17028,-13.273056,-12.174623,-11.6670065,-10.686779,-11.70386,-10.443546,-9.040305,-6.5870094,-8.740037,-8.463053,-9.929815,-13.413693,-10.231491,-10.310448,-9.681789,-9.346717,-10.833853,-13.269796,-19.270485,-22.251722,-20.746305,-24.588314,-33.471966,-29.571062,-15.486595,-13.113074,-19.993021,-34.248142,-46.801178,-30.116486,-22.009762,-16.378967,-9.713718,-9.3747425,-10.939118,-12.156424,-16.23064,-22.319263,-20.625032,-22.261887,-31.972965,-44.911724,-55.390373,-63.6592
-74.020004,-67.42654,-68.30135,-65.86456,-60.6809,-52.5796,-45.733734,-42.100937,-38.95852,-37.09394,-30.840324,-28.31688,-29.399761,-26.819706,-22.674126,-23.044483,-24.772041,-26.46653,-21.811756,-20.543034,-21.800943,-19.17923,-22.788826,-29.799139,-22.080032,-17.50761,-21.464437,-19.09937,-21.63148,-15.912636,-17.749672,-18.11776,-19.310648,-15.987726,-18.608839,-19.668507,-23.228027,-20.886318,-21.018873,-24.91536,-24.449528,-27.895258,-34.03498,-42.621037,-41.506535,-32.58599,-30.905472,-37.82685,-47.572952,-32.07,-27.099358,-23.58284,-22.387182,-23.258198,-23.566498,-24.771152,-25.699387,-29.113197,-29.478794,-31.475304,-25.762634,-22.887001,-25.656487,-27.581484,-23.900969,-23.8797,-27.022537,-36.307007,-43.93885,-52.926903,-57.881966,-60.94936,-50.461742,-39.506958,-39.68979,-53.86896,-65.685104,-64.89879,-49.92916,-38.96777,-27.782932,-23.95911,-26.761898,-24.042814,-23.5616,-29.583057,-36.762096,-43.03043,-57.303112,-61.477104,-68.97919,-73.24225,-77.71999
-79.51118,-71.69926,-70.80446,-72.01803,-68.90693,-63.68414,-59.67594,-59.25983,-53.40194,-47.37226,-38.65828,-36.625153,-39.402695,-44.17731,-39.708317,-39.06142,-36.621468,-38.053253,-27.772184,-27.417145,-35.97224,-30.09977,-27.014544,-33.60918,-35.84965,-32.785904,-31.0,-27.071404,-28.744352,-21.933517,-22.663921,-22.4337,-23.794521,-20.903105,-25.09304,-28.1655,-28.756065,-27.46006,-27.897388,-30.627708,-33.740032,-40.683037,-52.58289,-60.61254,-55.933643,-49.80031,-48.422497,-55.539677,-56.547127,-34.957504,-29.382149,-31.99023,-33.641098,-34.98931,-34.92444,-34.038136,-32.954308,-32.598812,-36.276623,-43.700428,-33.55473,-30.51253,-33.959675,-34.53118,-31.055729,-32.445953,-38.166313,-50.96488,-57.24859,-62.805424,-70.24559,-70.06542,-64.70767,-59.426212,-59.773983,-72.245056,-76.48784,-74.683304,-63.43853,-44.942852,-32.91647,-30.128414,-34.195747,-31.17284,-31.031452,-43.1166,-55.25459,-60.770687,-69.38306,-78.51245,-78.50416,-78.13656,-80.0
-80.0,-73.48993,-74.25366,-77.11661,-72.49519,-70.999146,-70.20294,-69.64273,-64.58294,-60.35793,-51.369347,-48.343647,-48.88114,-55.899395,-58.13162,-51.074203,-44.893074,-46.54056,-35.717518,-35.95256,-46.38601,-35.91154,-32.48723,-39.909927,-45.16449,-42.689503,-39.381607,-34.769592,-36.85815,-31.153671,-29.469933,-27.527,-28.784254,-26.27707,-30.841255,-32.91563,-33.297874,-31.50484,-32.41823,-36.621925,-39.08844,-46.26868,-56.93557,-62.348076,-60.215054,-57.456707,-59.09044,-62.88183,-61.08972,-43.03544,-36.219177,-39.627796,-45.97369,-46.823826,-49.917706,-46.383797,-42.955788,-40.467453,-44.158203,-52.665146,-40.41251,-34.1661,-37.628338,-44.47318,-47.15067,-46.760845,-51.30944,-61.059563,-65.89065,-68.30618,-73.856544,-72.39982,-65.70228,-64.54078,-67.02408,-76.20842,-79.19588,-79.95626,-68.44335,-55.043056,-46.67634,-43.46343,-45.33394,-41.665512,-42.300022,-55.547997,-63.392807,-66.628006,-73.48117,-78.80149,-79.403694,-80.0,-80.0
-80.0,-77.23783,-75.694084,-77.059074,-75.31927,-73.94995,-72.45872,-71.28867,-70.348045,-66.6698,-60.24342,-60.465816,-65.17043,-66.778206,-60.52337,-50.42935,-44.307472,-48.17449,-45.438354,-45.21301,-51.213734,-45.601425,-44.636753,-51.976612,-55.928894,-52.41539,-50.693043,-46.5802,-51.645565,-45.849598,-38.44176,-33.124626,-35.347202,-33.55905,-36.987236,-37.60142,-40.221687,-39.893387,-40.25026,-45.59224,-48.107914,-52.238922,-63.64777,-67.857605,-63.260998,-60.875973,-61.986176,-65.03976,-68.18932,-56.91334,-51.93042,-55.570595,-60.85509,-60.818363,-60.096184,-54.470905,-54.297333,-55.522022,-60.761562,-57.550995,-46.97257,-42.803314,-47.060127,-53.516815,-54.70808,-57.445503,-63.233395,-67.74574,-67.30047,-68.62964,-73.52234,-78.86631,-72.72034,-67.12864,-69.926895,-79.637184,-79.4315,-77.31611,-71.926414,-68.13604,-59.473866,-54.14584,-51.96852,-48.44479,-51.781948,-63.4391,-65.70163,-69.404144,-76.20659,-76.16066,-79.20087,-80.0,-80.0
-80.0,-80.0,-79.58351,-78.56731,-78.08262,-77.70302,-72.25993,-70.61879,-73.36013,-73.183174,-67.90927,-66.03546,-69.126854,-71.02737,-62.61407,-57.60483,-54.236195,-58.285496,-56.625614,-55.55914,-61.299286,-57.984226,-58.323994,-65.66544,-69.64837,-66.47825,-68.3668,-63.868008,-67.06832,-63.693768,-52.52369,-46.174885,-48.45374,-45.40562,-49.172085,-53.106396,-55.254017,-50.758583,-50.410835,-56.17989,-60.587086,-64.62868,-71.94616,-71.27765,-64.337975,-61.004,-67.10555,-71.915794,-73.27297,-66.49562,-61.679913,-63.334362,-64.484985,-61.87265,-61.144093,-60.93126,-60.10601,-62.278316,-68.58361,-67.18929,-58.30991,-56.073986,-60.988735,-63.873425,-61.23538,-62.649834,-67.52657,-72.601295,-71.27574,-73.1022,-77.96246,-79.39136,-74.03781,-69.782486,-71.772995,-80.0,-80.0,-80.0,-76.97257,-71.28648,-63.60776,-58.62891,-56.426346,-52.424366,-55.001637,-68.32928,-70.12916,-72.89297,-77.073654,-79.36984,-80.0,-79.16257,-78.81837
-80.0,-77.96219,-78.238815,-80.0,-79.63763,-76.31967,-73.56204,-74.09016,-71.29644,-70.34891,-71.52206,-68.730675,-69.81808,-71.16136,-65.877045,-64.63955,-63.25781,-67.51082,-65.797806,-63.435303,-65.73663,-63.405376,-65.18424,-69.57699,-73.25309,-71.94702,-71.838585,-67.42623,-71.172386,-72.09167,-66.77539,-60.13004,-61.7926,-60.54718,-64.038635,-63.17197,-63.788128,-59.323467,-59.130184,-64.20415,-65.45021,-68.46063,-75.52509,-76.056725,-68.81527,-65.555824,-70.517426,-76.86531,-77.945816,-69.22469,-65.53695,-69.81254,-67.70459,-62.670216,-62.908966,-66.4255,-63.72282,-65.23277,-70.22625,-73.75527,-65.604996,-61.01044,-65.382355,-65.09094,-62.14975,-64.97901,-71.08879,-76.19018,-75.4758,-76.45835,-80.0,-80.0,-78.357506,-76.46321,-78.76738,-80.0,-80.0,-80.0,-79.128654,-69.54924,-63.444088,-61.592396,-63.59535,-59.77431,-61.426598,-69.982315,-73.33472,-76.847984,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-79.53502,-79.67508,-80.0,-80.0,-77.06516,-75.42543,-78.17312,-73.75725,-72.30735,-74.71318,-67.135315,-67.00848,-72.99526,-66.748375,-65.62361,-65.647354,-69.45459,-69.46875,-68.228226,-68.359215,-65.570526,-67.27087,-71.47878,-70.77152,-67.07912,-69.84323,-66.24649,-71.31024,-75.44289,-73.84006,-71.1209,-71.30749,-68.084984,-70.94437,-66.87998,-66.24402,-65.601265,-65.83919,-67.31501,-67.85533,-71.51956,-76.15441,-76.615005,-71.896835,-67.48231,-70.83767,-74.7104,-75.927216,-71.62008,-66.55162,-67.65501,-67.08751,-64.15405,-64.67935,-69.493805,-66.375946,-66.44835,-72.41463,-74.752304,-65.9714,-62.874386,-68.78286,-66.35073,-62.039658,-62.612526,-68.36824,-76.90905,-74.88827,-75.14414,-79.96686,-79.96771,-77.19743,-78.142845,-80.0,-80.0,-80.0,-80.0,-79.43508,-68.35524,-62.169888,-60.71265,-63.465534,-61.282135,-63.822117,-72.02152,-76.54821,-79.945076,-80.0,-80.0,-80.0,-80.0,-80.0
