Frame,MelBin_1,MelBin_2,MelBin_3,MelBin_4,MelBin_5,MelBin_6,MelBin_7,MelBin_8,MelBin_9,MelBin_10,MelBin_11,MelBin_12,MelBin_13,MelBin_14,MelBin_15,MelBin_16,MelBin_17,MelBin_18,MelBin_19,MelBin_20,MelBin_21,MelBin_22,MelBin_23,MelBin_24,MelBin_25,MelBin_26,MelBin_27,MelBin_28,MelBin_29,MelBin_30,MelBin_31,MelBin_32,MelBin_33,MelBin_34,MelBin_35,MelBin_36,MelBin_37,MelBin_38,MelBin_39,MelBin_40,MelBin_41,MelBin_42,MelBin_43,MelBin_44,MelBin_45,MelBin_46,MelBin_47,MelBin_48,MelBin_49,MelBin_50,MelBin_51,MelBin_52,MelBin_53,MelBin_54,MelBin_55,MelBin_56,MelBin_57,MelBin_58,MelBin_59,MelBin_60,MelBin_61,MelBin_62,MelBin_63,MelBin_64,MelBin_65,MelBin_66,MelBin_67,MelBin_68,MelBin_69,MelBin_70,MelBin_71,MelBin_72,MelBin_73,MelBin_74,MelBin_75,MelBin_76,MelBin_77,MelBin_78,MelBin_79,MelBin_80,MelBin_81,MelBin_82,MelBin_83,MelBin_84,MelBin_85,MelBin_86,MelBin_87,MelBin_88,MelBin_89,MelBin_90,MelBin_91,MelBin_92,MelBin_93,MelBin_94,MelBin_95,MelBin_96,MelBin_97,MelBin_98,MelBin_99,MelBin_100,MelBin_101,MelBin_102,MelBin_103,MelBin_104,MelBin_105,MelBin_106,MelBin_107,MelBin_108,MelBin_109,MelBin_110,MelBin_111,MelBin_112,MelBin_113,MelBin_114,MelBin_115,MelBin_116,MelBin_117,MelBin_118,MelBin_119,MelBin_120,MelBin_121,MelBin_122,MelBin_123,MelBin_124,MelBin_125,MelBin_126,MelBin_127,MelBin_128
1,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
2,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
3,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.014854,-77.252106,-77.93408,-78.93165,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.91774,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
4,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.91882,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.510925,-79.43565,-79.20628,-77.248276,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.56856,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
5,-29.627502,-30.43364,-31.395428,-32.950356,-39.52081,-41.702927,-46.240883,-50.06821,-52.97001,-53.34301,-53.58049,-50.28842,-49.582188,-48.91765,-48.0587,-46.994583,-49.427967,-49.127884,-48.413395,-45.499672,-46.265106,-46.53,-46.657475,-48.044426,-53.76918,-56.56229,-65.85768,-59.274883,-56.84367,-56.175743,-55.167915,-54.774014,-57.36514,-57.657555,-57.344738,-55.93339,-57.20327,-57.20392,-56.663906,-56.18945,-57.385925,-57.15155,-56.388695,-55.01221,-57.350533,-59.247353,-61.81963,-63.344883,-61.18128,-58.512897,-57.36068,-58.28894,-59.970486,-60.173725,-57.1376,-54.6338,-53.473175,-54.14601,-56.49082,-61.025303,-68.50307,-73.54785,-67.57127,-64.78613,-62.43422,-59.879997,-60.212906,-58.39304,-55.419582,-53.30143,-53.02726,-54.813747,-56.744354,-59.218735,-62.487206,-61.721424,-62.519844,-62.781345,-62.096962,-66.014786,-72.04564,-68.89827,-65.334465,-63.68278,-67.222046,-70.10556,-66.701454,-69.59285,-75.33784,-69.01152,-68.196655,-70.86705,-72.53546,-72.328514,-72.52176,-72.19439,-71.617,-71.34694,-72.2025,-72.37727,-72.43838,-72.70964,-72.2726,-71.92844,-71.64729,-71.649445,-71.93465,-72.59269,-72.568,-72.18465,-72.3749,-72.40059,-72.08208,-72.00806,-72.02927,-72.68027,-74.95791,-72.80382,-73.89876,-75.286606,-77.252075,-77.43614,-78.00481,-77.26084,-76.878265,-77.76965,-80.0,-80.0
6,-18.176718,-18.612728,-19.051292,-26.511032,-38.55726,-41.266823,-45.829777,-54.66438,-53.480637,-53.100464,-52.579422,-67.10013,-42.40393,-40.60502,-38.97419,-40.37062,-48.837135,-47.79126,-45.70659,-37.040386,-36.94343,-37.653957,-38.740387,-42.55371,-44.90024,-44.918755,-44.416588,-42.35535,-46.855038,-49.131065,-55.125237,-45.26068,-51.034164,-52.96866,-54.39472,-48.160713,-52.061764,-53.83051,-56.982525,-55.673744,-53.9735,-52.92157,-51.46635,-51.935066,-50.51123,-50.627094,-52.23885,-55.087063,-53.398468,-52.859676,-47.06922,-42.89792,-43.21663,-47.41439,-57.141422,-42.96064,-38.04789,-38.777283,-44.775196,-53.687237,-57.15735,-55.517597,-54.964565,-56.44385,-58.846294,-50.588493,-52.26315,-54.3398,-49.224663,-46.619923,-45.244095,-50.74664,-51.006027,-50.449333,-56.666313,-55.527695,-54.86436,-54.495426,-50.196068,-54.79766,-65.4565,-67.59383,-59.496548,-57.389347,-62.244312,-68.65239,-60.894558,-60.101063,-63.43274,-62.571167,-65.368355,-64.58792,-68.18786,-69.545975,-70.978775,-69.63545,-68.715,-69.869965,-69.388565,-70.07143,-71.02622,-70.86774,-69.56673,-70.280106,-69.2144,-69.21307,-70.36429,-71.34383,-70.7103,-70.003914,-70.802,-70.46336,-70.128204,-70.219604,-69.88051,-70.90514,-72.66318,-71.56512,-71.35585,-73.95479,-75.692154,-75.65625,-76.57813,-74.92969,-75.27315,-75.16585,-79.68888,-80.0
7,-13.782816,-14.738704,-15.946098,-29.84601,-46.433754,-50.32744,-52.81655,-48.435295,-55.31107,-57.85374,-64.22747,-45.98401,-36.45305,-36.235798,-35.944992,-41.92967,-41.39117,-41.706795,-42.014458,-51.04914,-38.196625,-39.61197,-44.014946,-47.125298,-48.741013,-44.414097,-41.182858,-42.368515,-40.901108,-41.25974,-41.88886,-44.673138,-49.289154,-50.759357,-52.069275,-53.705685,-50.09063,-50.812622,-53.40201,-58.64316,-62.442387,-58.46249,-54.664555,-56.768913,-55.348877,-56.286625,-50.318302,-47.906784,-52.50591,-63.023335,-54.17785,-42.272495,-42.923317,-44.89473,-43.845688,-42.46219,-33.510616,-34.68517,-46.056686,-48.614136,-51.762657,-48.47604,-47.277325,-49.50923,-49.656395,-48.925934,-54.882195,-47.80384,-45.218864,-51.716545,-48.353096,-46.516518,-52.114803,-50.370102,-47.415974,-53.64183,-56.082195,-56.680943,-52.49842,-53.12973,-60.171436,-60.170357,-61.934525,-56.883156,-59.132656,-61.21619,-60.295994,-61.34888,-62.655704,-65.37247,-68.09122,-61.122913,-63.850677,-77.20357,-80.0,-76.27945,-74.73029,-78.77927,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
8,-13.257453,-14.459698,-16.125591,-32.01757,-45.778248,-47.11973,-47.348083,-43.316505,-46.906185,-47.72,-48.593338,-52.54437,-36.082153,-34.73084,-33.396095,-32.55839,-37.34092,-36.94565,-35.901344,-35.315487,-42.689846,-45.565533,-50.73761,-41.251358,-40.346527,-39.86609,-39.04197,-38.310223,-40.960934,-43.16334,-54.201843,-45.3855,-51.98712,-55.160404,-61.0851,-50.734295,-46.924503,-46.602226,-46.20436,-47.10665,-48.672714,-49.887314,-53.126953,-56.09283,-50.887165,-51.1078,-51.793713,-51.08586,-48.596718,-50.0187,-54.709393,-46.642296,-39.491646,-37.64706,-35.993004,-34.791122,-35.65398,-39.645836,-36.641186,-37.237434,-39.565144,-45.09854,-47.90101,-48.30179,-53.518913,-55.99872,-51.883133,-45.233368,-38.840996,-34.66118,-35.937794,-44.633873,-51.978306,-50.518578,-43.43167,-44.153755,-53.79692,-48.934498,-50.53168,-53.37184,-57.693874,-58.09851,-56.95597,-51.716854,-55.558144,-54.850967,-60.48549,-64.41098,-61.01124,-61.420704,-59.16183,-58.832867,-65.19148,-72.74478,-78.73702,-70.11704,-67.34723,-73.059494,-72.06726,-78.846436,-78.21942,-78.98349,-78.33925,-77.03105,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
9,-13.804988,-15.701683,-19.23916,-33.6532,-45.53263,-44.456203,-43.024494,-52.662437,-48.298843,-50.477882,-57.11939,-41.72715,-35.00513,-35.18811,-35.409725,-31.162521,-33.654686,-35.21306,-38.219326,-33.258087,-41.298164,-42.14393,-41.225563,-47.745693,-48.891747,-48.770752,-48.238365,-36.78944,-42.04988,-43.949013,-46.34057,-45.65096,-46.300095,-46.922695,-47.899937,-52.263954,-46.217617,-45.35765,-44.208786,-43.4376,-46.740196,-48.96063,-60.31072,-53.4347,-53.596783,-51.04094,-51.157906,-54.38135,-58.175545,-49.436115,-44.973984,-51.63207,-37.59636,-38.36877,-43.594406,-46.894962,-38.639458,-42.37629,-45.11974,-43.22484,-41.809525,-47.66761,-57.34387,-53.170273,-51.956715,-49.76535,-46.05464,-47.804184,-45.608593,-33.482716,-32.82559,-41.451847,-46.990665,-49.616814,-46.09014,-43.10557,-45.106255,-48.540417,-46.653908,-50.995758,-51.595734,-56.8765,-55.650566,-49.593937,-52.0252,-54.274647,-58.517895,-55.411674,-58.87029,-59.349194,-62.01566,-64.18034,-64.75937,-74.78592,-73.15715,-66.258026,-65.84523,-73.29178,-70.926575,-74.11582,-74.57176,-74.121506,-79.24519,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
10,-13.0680685,-15.350068,-20.680353,-41.11802,-40.994072,-41.66033,-42.437508,-48.50946,-42.340282,-42.45206,-42.534927,-41.640827,-40.960785,-32.139156,-28.76968,-31.644287,-34.427322,-30.260153,-27.397907,-25.709047,-35.262375,-36.18461,-34.51397,-37.42537,-47.51396,-42.385475,-38.437973,-37.50116,-47.480843,-53.102085,-54.44862,-51.17325,-47.6435,-46.586586,-45.128166,-53.16942,-46.08778,-41.055077,-37.21631,-38.36875,-47.1582,-53.591778,-54.230743,-48.43026,-45.78913,-46.0258,-48.29704,-52.204643,-48.256203,-55.06107,-42.958267,-39.604683,-37.857788,-41.98327,-43.550285,-41.331516,-34.59359,-35.77481,-37.74926,-40.113823,-44.921482,-42.798687,-48.123592,-47.37394,-43.100155,-39.855827,-40.28738,-43.801895,-49.880016,-38.789505,-38.533607,-46.365295,-48.700455,-42.052822,-41.9225,-44.778515,-39.766087,-43.143787,-47.866577,-48.92561,-54.127396,-56.147568,-49.622425,-46.160717,-48.433468,-53.917088,-55.012264,-51.930412,-52.41978,-56.18558,-54.91853,-60.13898,-63.81623,-74.4276,-72.463715,-64.87186,-62.386864,-69.851654,-67.92932,-74.73351,-73.99079,-71.925835,-75.9323,-79.03792,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
