MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Delta9,Delta10,Delta11,Delta12,Delta13,DeltaDelta1,DeltaDelta2,DeltaDelta3,DeltaDelta4,DeltaDelta5,DeltaDelta6,DeltaDelta7,DeltaDelta8,DeltaDelta9,DeltaDelta10,DeltaDelta11,DeltaDelta12,DeltaDelta13
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23289,-0.54234475,2.7721221,-0.35745993,2.2229002,-0.4801145,-1.3117961,-0.69260234,-0.097605035,1.4323627,1.2836562,1.402652,0.1060962,23.343624,0.1510721,0.27420402,-0.3402042,0.5787677,-0.47716168,-0.48717073,-0.07674631,-0.35218862,0.041153315,0.21755962,0.29843923,-0.01266596
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23289,-0.54234475,2.7721221,-0.35745993,2.2229002,-0.4801145,-1.3117961,-0.69260234,-0.097605035,1.4323627,1.2836562,1.402652,0.1060962,23.343624,0.1510721,0.27420402,-0.3402042,0.5787677,-0.47716168,-0.48717073,-0.07674631,-0.35218862,0.041153315,0.21755962,0.29843923,-0.01266596
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23289,-0.54234475,2.7721221,-0.35745993,2.2229002,-0.4801145,-1.3117961,-0.69260234,-0.097605035,1.4323627,1.2836562,1.402652,0.1060962,23.343624,0.1510721,0.27420402,-0.3402042,0.5787677,-0.47716168,-0.48717073,-0.07674631,-0.35218862,0.041153315,0.21755962,0.29843923,-0.01266596
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23289,-0.54234475,2.7721221,-0.35745993,2.2229002,-0.4801145,-1.3117961,-0.69260234,-0.097605035,1.4323627,1.2836562,1.402652,0.1060962,23.343624,0.1510721,0.27420402,-0.3402042,0.5787677,-0.47716168,-0.48717073,-0.07674631,-0.35218862,0.041153315,0.21755962,0.29843923,-0.01266596
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23289,-0.54234475,2.7721221,-0.35745996,2.2229002,-0.4801145,-1.3117961,-0.69260234,-0.097605035,1.4323627,1.2836562,1.402652,0.1060962,23.343624,0.1510721,0.27420402,-0.3402042,0.5787677,-0.47716168,-0.48717073,-0.07674631,-0.35218862,0.041153315,0.21755962,0.29843923,-0.01266596
-651.73425,1.0723246,1.071594,1.0703795,1.0686806,1.0664973,1.0638337,1.0606947,1.0570867,1.0529959,1.0484445,1.0434335,1.0379665,55.321793,1.4986035,3.2171295,0.62833405,3.1034153,-0.33276904,-1.279935,-0.492078,0.0785309,0.7399891,0.9475267,0.94790536,-0.6889386,24.908333,2.1175497,-0.10294093,0.72711617,0.67910933,-0.10561534,0.006016432,0.31299946,-0.07712379,-0.97000676,-0.47183138,-0.54637367,-0.75869954
-582.1109,-12.026474,30.118572,-0.64949477,19.549923,2.0159874,-5.817148,-6.906616,6.9746447,15.885744,9.844816,10.561001,-0.75709206,73.011154,6.942568,4.1602445,2.8601646,1.7752038,-2.2623074,-2.6259997,-0.48325047,0.31083575,-0.60687494,0.57850826,0.53212756,-1.8535486,21.420824,6.1720905,0.11506283,2.4522598,-1.3707154,-1.7232503,-0.9074275,0.35426813,0.17866322,-2.0778434,-0.88422704,-0.9836653,-1.4644816
-417.7456,-4.195248,24.948729,-0.31136078,15.034339,-3.653361,-15.959728,-9.210522,-4.0782313,14.844374,14.062461,13.846462,3.0112076,85.81942,12.630534,2.878911,4.433746,-0.9348077,-4.2744184,-4.0109367,0.32689175,1.161046,-2.5701144,-0.043571074,0.36642197,-3.0065548,11.340117,8.042229,-1.6509777,2.6109815,-3.679018,-2.5695908,-1.4161373,1.0324438,0.9170377,-2.9605107,-1.1935903,-0.83479965,-1.6763171
-305.4401,0.7564206,7.5431013,-5.071226,12.025617,-5.736315,-5.0645285,-0.29300934,-2.156996,2.1460392,3.5234787,5.113574,-0.5479083,90.8888,16.751429,-0.67392445,4.0336523,-3.0638764,-4.660829,-4.676028,1.3719738,2.2727811,-4.3968344,-0.86506003,0.55321753,-3.2084851,-2.8060672,6.4295793,-4.2394567,0.49941176,-3.8427124,-1.2184224,-0.96490216,1.4472356,1.5586195,-2.719386,-1.2247345,-0.11161972,-0.6514369
-217.92421,27.01598,22.595608,13.546484,25.127365,0.6333842,-5.966478,-0.829498,3.091165,-1.9033161,2.0778573,0.81991875,-11.239479,85.38536,19.120672,-5.654111,2.3386981,-4.0103946,-3.0565763,-5.0095997,1.7675148,2.6148798,-5.455081,-1.1939884,0.84483534,-2.529913,-16.838787,2.4721503,-5.789432,-2.1806889,-1.7027527,1.7110152,-0.42735785,0.7263578,1.1291034,-0.97454923,-0.2642642,0.83166844,0.98210704
-115.27515,84.815216,35.716125,35.623653,-1.7216898,-30.361526,-28.126984,-3.912325,4.70649,-12.196501,2.1039875,1.6094306,-19.592976,66.98649,19.863466,-9.77244,0.9550403,-3.45909,-0.6991358,-5.0725303,1.6861473,2.07463,-5.583447,-1.0212626,0.7515065,-1.9453881,-24.792595,-2.5142488,-3.8878493,-3.514906,2.1741645,3.8480065,-0.40010905,-0.81734085,-0.20635185,1.71172,1.2438817,1.3665003,1.6486459
-54.187244,109.679054,11.278431,34.65583,-22.879114,-39.1905,-35.741814,7.1293144,15.151693,-24.491257,-1.1659287,5.762871,-24.317165,40.763573,17.332033,-10.226336,-0.43451944,-1.072536,1.4184792,-4.7391067,1.2152319,2.231884,-3.8586483,-0.59969574,0.728243,-1.8764398,-26.232407,-5.953747,-2.1315694,-3.4540086,3.9313421,3.9134743,0.40173617,-1.1492263,-1.5166034,2.8895993,1.2913418,0.47287574,1.4714203
-20.6941,113.59274,-19.974491,13.714664,-19.884748,-24.60262,-33.879574,12.43574,22.862492,-28.56628,-4.4485555,12.491106,-16.130314,18.298855,13.333742,-9.803469,-1.8569847,0.5047247,2.7410614,-4.1919613,0.76938653,1.9337921,-1.7027268,-0.14671393,1.4026282,-0.95356244,-25.70627,-7.5167084,0.27370247,-2.3401976,3.9707074,2.7969465,2.358673,-0.4429304,-1.1182808,2.693059,0.071227305,-0.48769486,0.8661213
-21.336838,115.716156,-46.378376,-2.2795846,-7.1176844,-0.8933194,-37.376686,5.80156,17.033564,-24.180754,1.8277144,17.186216,-6.9553585,-0.44513085,7.4797516,-9.465775,-4.084462,1.8159627,3.5376606,-2.499304,0.9689472,1.5245554,-0.11210037,-0.21324565,1.692942,-0.039807446,-20.286003,-6.019541,4.3131084,0.13269977,3.0798492,0.70345736,2.4275205,-0.1697866,-0.45765793,2.1855493,-0.29882732,-0.65429443,-0.20023616
-57.927425,118.90804,-46.3846,0.48199517,12.234392,8.8480425,-43.991028,-1.2275453,6.7353725,-17.593971,8.498899,14.404279,-11.402365,-17.0349,1.8123895,-7.4714246,-5.1733866,4.304098,5.281371,-0.23985882,0.82751435,0.94456315,1.1279832,-0.19098671,1.5064963,0.5684155,-12.256136,-2.5050786,5.796097,1.7890271,-0.31180805,-2.3024073,1.233846,-0.020023663,-0.15374307,0.605104,-0.38228035,-0.38423738,-0.5369395
