MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-2.5266857,-2.165024,1.0088781,-0.87748736,1.596802,-2.3246095,2.705348,-2.395691,0.5204177,-1.0727773,1.3793343,-0.18143268,1.044797
-2.5266857,-2.165024,1.0088781,-0.87748736,1.596802,-2.3246095,2.705348,-2.395691,0.5204177,-1.0727773,1.3793343,-0.18143268,1.044797
-2.5243418,-2.1531398,1.036403,-0.8444134,1.6313446,-2.2682233,2.751075,-2.3422618,0.5880064,-0.9866596,1.4353586,-0.11320149,1.1000684
-1.1786233,-0.56719714,0.3159939,0.70903903,1.6605729,0.552764,0.4531479,-0.18487886,3.3742723,-1.2078925,0.9040243,-0.9315557,1.2900244
-0.7261056,-0.5542544,0.3838651,0.6015677,1.1508007,0.81563306,-0.14579196,0.16634722,2.180818,-0.06417527,0.43564603,0.08633734,0.63634306
-0.77893937,-0.9505179,0.80891913,-0.16879807,0.68559825,0.8264275,0.045956712,0.7884109,0.8128207,0.31995237,0.5524848,0.332438,0.41124192
-0.88264537,-1.5306515,0.5760451,-0.2478679,0.6551496,0.97133327,-0.12997736,1.1110351,0.1037469,0.11952002,0.8910571,0.8245712,1.6088449
-0.91411513,-1.5392394,0.83136404,-0.014749919,1.0203872,1.4008832,-0.23594536,0.98385245,-0.021100845,0.31049365,1.2623086,1.0440217,2.3725727
-0.89052397,-1.19686,1.1391656,-0.11687716,0.45714137,0.7053735,0.3483717,0.7701252,-0.17407319,0.04661412,1.6952931,1.0077095,1.4316615
-0.82986313,-0.9521951,0.87465477,0.028121639,-0.2449435,-0.20634395,0.29796714,0.390828,0.05551374,-0.69410926,1.0124882,0.20709188,0.8142008
-0.75661474,-1.0998931,0.30300653,0.79190874,0.26258418,1.0934432,0.75040054,0.42646417,0.017488707,-0.67725945,0.98829484,0.03466619,1.1075351
0.89505947,0.6234642,-1.7545303,-0.36507937,-0.020575082,-0.29160103,-1.172664,-1.5208849,-1.8735595,-3.2198074,-1.644959,2.1259668,-0.059829194
1.5998518,0.6869382,-1.9775524,-0.097791225,-0.44150668,-0.47498044,-1.470594,-0.9395738,-1.9973369,-2.334544,-2.2920089,2.5831993,-0.9295085
1.6825657,0.78622913,-1.8575301,0.17153817,-0.53547895,-0.21108912,-1.0956699,-0.49638462,-1.6700628,-1.0451919,-2.0089836,2.213294,-0.81746197
1.4605231,0.8802383,-1.9050155,0.36195284,-0.93661696,-0.47924587,-0.6185068,-0.48736003,-1.7210159,0.93146586,-0.9655243,1.0390471,-0.37551627
1.2000612,0.88690466,-2.4507692,0.3199394,-1.0950004,-0.35176492,-0.7693786,-0.46700606,-1.8709505,1.6308798,-0.74417216,-0.1623497,-0.5453811
0.9695094,0.9734528,-2.509328,0.25815982,-0.55623543,0.31334358,-0.67609286,-0.44727433,-1.2927499,-0.5050908,-0.6091927,0.40999156,-0.09295437
0.7458332,0.85078686,-2.3563168,0.25489387,-0.20077866,-0.047816224,-0.727114,-0.3952888,-1.0148487,-1.7563944,-0.8225977,0.09766785,-0.34959108
0.71278393,0.85098076,-1.6871291,-0.6301006,-0.18418539,-0.36055985,-0.51642895,-0.60029256,-0.7803779,-0.95686036,-0.9421418,-1.1816419,-0.48033306
1.099724,1.2075665,-1.2642078,-1.5239854,-1.4241291,-0.48319075,-0.17728442,-0.91920185,-0.3041032,0.26198864,-1.1382366,-2.3438077,-1.9332281
1.224643,1.1840737,-1.4807246,-1.4940518,-2.0491867,-0.23637511,-0.10204887,-0.6120804,0.037388984,1.0884941,-1.650684,-1.7006928,-1.6978099
1.1487192,1.1146395,-1.4834306,-1.1717501,-2.0969584,0.042961527,-0.39998996,-0.29571417,0.7402349,1.9329152,-1.0513614,-0.5414719,-0.99764186
0.98596025,1.1407416,-1.3544925,-0.81585777,-1.4514469,-0.18375778,-0.31688,0.07003829,1.1811098,1.1808138,-1.0829885,-0.7675385,-1.707446
