MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-1.0536385,-0.34102246,-0.10336088,-0.64422,-0.17938466,-0.30857033,0.7338383,0.11597329,-0.6733832,0.25356704,-0.6279178,-1.0563962,0.496992
-1.0536385,-0.34102246,-0.10336088,-0.64422,-0.17938466,-0.30857033,0.7338383,0.11597329,-0.6733832,0.25356704,-0.6279178,-1.0563962,0.496992
-1.0536385,-0.34102246,-0.10336088,-0.64422,-0.17938466,-0.30857033,0.7338383,0.11597329,-0.6733832,0.25356704,-0.6279178,-1.0563962,0.496992
-1.0536385,-0.34102246,-0.10336088,-0.64422,-0.17938466,-0.30857033,0.7338383,0.11597329,-0.6733832,0.25356704,-0.6279178,-1.0563962,0.496992
-1.0536385,-0.34102246,-0.10336088,-0.64422,-0.17938466,-0.30857033,0.7338383,0.11597329,-0.6733832,0.25356704,-0.6279178,-1.0563962,0.496992
-1.050389,-0.32082242,-0.05274932,-0.5674871,-0.07379652,-0.23088823,0.8035544,0.28150466,-0.52003354,0.36256716,-0.383586,-0.8834964,0.6332702
-0.75209963,-0.56757265,1.3191444,-0.69078076,1.7521935,-0.16172877,0.3526237,-0.9618691,0.3384159,1.8979688,1.66634,0.6935907,0.3975908
-0.047904484,-0.42005098,1.0749718,-0.66654074,1.3060433,-0.57467586,-0.3120491,-1.3214153,-1.2650048,1.7901721,2.6492293,1.2380008,0.89234376
0.43324938,-0.3267733,0.25290108,-1.007764,1.0087745,-0.72639513,0.40194505,0.07024642,-0.9862947,0.4757128,0.19320145,-0.20906292,0.42505524
0.80819637,0.16789441,0.9638335,0.32689485,2.303258,-0.26243556,0.3428377,-0.013477682,-0.22495346,0.0565466,-0.14368938,-0.9205335,-0.97867787
1.2479788,1.2566947,1.5835178,1.9095541,-0.34949166,-2.5200598,-1.1094048,-0.49458182,0.009378819,-1.0089452,-0.13759993,-0.7897092,-2.075437
1.5096996,1.7250704,0.4293213,1.8401731,-2.439895,-3.1631494,-1.6084268,1.2285699,1.5246456,-2.2816284,-0.8996284,-0.101472676,-2.6956923
1.6531953,1.798795,-1.0467595,0.33895132,-2.1440444,-2.1005893,-1.4863888,2.0566876,2.6432374,-2.7034514,-1.664619,1.0134145,-1.6208124
1.6504415,1.8387951,-2.2938194,-0.807638,-0.88262856,-0.37363842,-1.7155647,1.0213612,1.7976451,-2.2494867,-0.20198321,1.7914071,-0.41620094
